92	183	875
81	162	992
91	180	492
99	198	230
109	216	2430
108	215	92
56	111	1172
95	190	361
57	114	1224
107	214	757
91	180	1078
103	204	616
109	218	333
125	248	3711
87	172	37
100	199	13
81	160	1025
93	186	1794
64	129	153
99	196	1200
113	224	39
83	166	3804
103	206	153
79	156	855
81	162	41
107	212	4091
63	126	1302
107	212	914
115	230	3062
110	219	1390
86	171	1339
40	79	1233
102	203	63
105	208	1774
102	203	3372
109	216	194
93	186	428
95	188	615
88	175	19
94	187	1274
87	174	467
96	191	3752
81	162	679
54	109	1896
62	123	280
101	202	109
71	142	235
111	220	626
111	222	1755
86	171	903
83	164	81
78	155	1021
48	97	2811
114	227	978
79	158	1806
96	191	524
93	186	997
64	129	1840
127	252	3104
138	255	236
65	130	4196
92	183	3378
102	203	3463
95	190	53
73	146	2867
103	206	873
111	220	195
85	170	2641
87	174	2240
40	81	299
109	216	1487
103	206	204
79	158	3526
95	188	918
106	211	2671
79	156	3882
43	86	3910
106	211	1109
87	172	2491
115	228	3420
97	192	2855
95	188	2476
85	168	449
78	155	3171
107	212	1252
67	133	1050
100	199	4039
95	188	681
100	199	1584
104	207	518
111	220	920
105	208	430
105	208	466
87	174	51
79	156	730
91	182	613
93	184	53
124	247	130
103	206	651
101	200	1520
85	168	2543
113	224	21
100	199	3531
101	200	2260
109	216	145
77	152	293
79	156	3410
86	171	42
99	198	2908
116	231	160
79	158	173
74	147	7
56	111	1602
89	176	1992
104	207	2716
118	235	284
81	160	1430
42	85	522
78	155	3151
67	134	19
95	188	408
131	255	1549
99	198	1982
119	238	3126
87	174	2244
54	107	3567
118	235	3123
50	101	1373
111	220	432
107	214	2672
105	208	427
91	180	242
101	200	228
101	200	2086
80	159	3778
111	222	4376
103	204	1351
100	199	105
94	187	4050
70	139	2284
80	159	70
125	248	538
115	228	4731
107	214	134
70	139	5218
64	129	871
105	208	271
116	231	3452
111	222	2716
113	226	3315
138	255	296
117	232	11
85	168	682
111	220	4185
107	214	798
69	138	2618
103	204	2465
84	167	2660
103	206	526
102	203	1279
93	186	219
99	196	2759
65	130	2297
104	207	475
119	238	3600
72	143	1338
77	152	3074
106	211	200
73	146	132
65	130	1953
95	190	2630
114	227	3467
71	140	4106
77	154	701
122	243	288
66	131	3383
115	228	1127
97	192	83
101	200	4572
47	94	2057
99	196	4407
109	216	303
99	196	1190
125	248	3258
45	90	2403
127	254	3730
114	227	844
47	94	1526
85	170	417
91	182	2401
87	172	3858
46	93	317
91	182	532
97	194	344
125	248	198
96	191	3883
98	195	722
109	218	3786
70	139	4454
103	204	2030
78	155	642
78	155	423
111	222	2174
73	144	971
101	202	3117
61	122	1973
109	218	45
83	166	933
102	203	1027
57	114	1899
67	133	1497
82	163	2915
111	222	1806
46	93	1112
85	168	1846
105	208	3845
73	144	1535
79	156	45
72	143	1760
93	186	7
83	164	1237
111	222	2415
89	176	1
76	151	2722
89	178	3876
109	218	0
120	239	1033
74	147	87
50	99	300
85	168	3762
89	176	423
87	172	1201
99	196	518
82	163	2449
93	184	334
99	198	2991
115	230	3298
101	200	3448
119	236	1365
80	159	1368
75	150	528
101	200	1199
82	163	2544
91	182	135
109	216	98
98	195	949
124	247	2470
76	151	974
94	187	1891
66	131	414
109	216	24
74	147	3465
97	192	1629
113	226	723
99	196	224
54	107	633
108	215	4279
89	176	150
116	231	285
77	152	3426
93	184	957
94	187	3565
86	171	855
79	156	213
100	199	203
103	204	2810
111	220	545
87	172	221
134	255	2456
90	179	861
62	123	1254
96	191	162
56	111	2284
85	168	2093
82	163	802
94	187	5654
78	155	624
110	219	990
86	171	278
93	184	3
90	179	1110
101	202	2323
93	186	5151
85	168	2280
115	230	2257
133	255	2817
100	199	204
78	155	3011
85	170	1354
95	188	400
109	218	3087
89	176	3736
97	192	361
97	192	37
64	127	373
111	220	3805
112	223	1227
97	194	539
87	172	1580
99	196	3565
97	192	4625
99	196	506
94	187	271
76	151	3328
33	66	2267
92	183	3722
93	184	1830
82	163	1435
34	69	627
70	139	2692
115	230	13
92	183	1881
109	216	2358
89	178	1135
109	218	2164
109	216	114
101	202	13
107	214	2124
99	196	1539
87	172	2282
89	178	9
93	186	1487
95	188	844
48	95	3059
69	136	246
75	150	401
101	200	80
112	223	2585
93	184	3467
97	192	1366
89	176	3898
110	219	3622
114	227	210
75	150	225
81	162	764
79	156	6
111	220	3209
98	195	2796
114	227	3055
102	203	2472
103	206	975
92	183	4577
83	164	2816
94	187	4086
93	184	4021
104	207	2785
103	204	800
114	227	45
130	255	2420
96	191	935
88	175	1783
95	190	3274
89	178	209
91	182	475
106	211	5044
104	207	3134
112	223	1492
109	218	125
90	179	899
95	188	461
91	180	132
85	168	1145
106	211	21
106	211	903
82	163	600
102	203	2720
97	194	1541
119	238	2579
95	188	3400
74	147	63
102	203	3806
70	139	4450
111	220	1574
96	191	2753
91	180	4542
99	198	186
83	166	1115
96	191	4506
34	67	430
60	121	560
119	236	220
104	207	3201
77	152	1677
107	214	2134
81	160	100
89	176	746
79	158	31
82	163	327
67	134	137
71	142	1214
116	231	2648
59	118	3749
105	210	219
78	155	5195
108	215	862
105	210	3119
107	212	2695
104	207	3688
66	131	3836
109	218	983
110	219	50
102	203	306
78	155	2019
87	172	3179
86	171	3695
79	156	2752
64	127	1256
82	163	4141
85	170	119
64	129	2061
70	139	138
78	155	350
105	208	1885
93	186	3465
95	190	150
112	223	981
109	216	1317
78	155	29
68	135	2658
94	187	952
123	246	3175
58	115	1050
58	117	84
85	168	1482
121	240	550
51	102	1797
76	151	3266
73	146	617
103	204	428
84	167	273
77	152	3197
90	179	2371
97	192	6
109	216	3045
67	134	4227
73	146	3631
81	160	4257
85	170	2303
120	239	2326
107	212	1271
96	191	2237
84	167	296
69	136	1283
109	216	2422
103	206	174
93	186	1625
120	239	3166
113	224	809
105	208	2912
119	236	261
82	163	1738
109	216	2840
67	133	423
44	89	226
38	75	2508
104	207	477
91	182	136
121	240	3266
54	107	3560

